Tensors_:0,Tensors_:1,Tensors_:2,Tensors_:3,Tensors_:4,Tensors_:5,Tensors_:6,Tensors_:7,Tensors_:8,Points:0,Points:1,Points:2
0.2524349,0.16162267,-0.026746484,0.16162267,0.8475496,0.08440788,-0.026746484,0.08440788,0.40001547,31,17,0
0.23567204,0.14522713,-0.033548027,0.14522713,0.8661816,-0.024847573,-0.033548027,-0.024847573,0.39814633,32,17,0
0.22687373,0.1257069,-0.044848096,0.1257069,0.83761436,-0.12522133,-0.044848096,-0.12522133,0.4355119,33,17,0
0.33003542,0.06282249,-0.03235528,0.06282249,0.66389793,-0.12247448,-0.03235528,-0.12247448,0.5060666,34,17,0
0.49913874,0.0002423086,-0.00016904304,0.0002423086,0.50053155,-0.00072681735,-0.00016904304,-0.00072681735,0.50032973,35,17,0
0.49919653,5.21653e-05,0.000118534386,5.21653e-05,0.49974057,-0.00017014242,0.000118534386,-0.00017014242,0.5010629,24,18,0
0.32539797,0.013130242,0.03412989,0.013130242,0.4419726,0.025983514,0.03412989,0.025983514,0.7326294,25,18,0
0.20802961,0.029637348,0.06627873,0.029637348,0.44421768,0.14121139,0.06627873,0.14121139,0.8477527,26,18,0
0.2094722,0.03820876,0.07117078,0.03820876,0.5228911,0.21259092,0.07117078,0.21259092,0.7676367,27,18,0
0.21253543,0.04314432,0.076116204,0.04314432,0.6242256,0.2449234,0.076116204,0.2449234,0.66323894,28,18,0
0.23788625,0.02936955,0.10391338,0.02936955,0.72649795,0.24021392,0.10391338,0.24021392,0.5356158,29,18,0
0.25894505,0.1065656,-0.04808804,0.1065656,0.802884,0.198738,-0.04808804,0.198738,0.43817097,30,18,0
0.21448103,0.08552895,-0.015554654,0.08552895,0.8736232,0.089465074,-0.015554654,0.089465074,0.4118958,31,18,0
0.20932603,0.075457774,-0.016656945,0.075457774,0.89098215,-0.017849624,-0.016656945,-0.017849624,0.39969185,32,18,0
0.20696513,0.06522256,-0.022020644,0.06522256,0.86175585,-0.12038887,-0.022020644,-0.12038887,0.431279,33,18,0
0.28778112,0.038675036,-0.019016882,0.038675036,0.7104548,-0.14432034,-0.019016882,-0.14432034,0.50176406,34,18,0
0.49794587,0.0002894304,-0.00019523806,0.0002894304,0.5013572,-0.0016892165,-0.00019523806,-0.0016892165,0.50069696,35,18,0
0.49956104,-1.02012955e-07,2.9753505e-08,-1.02012955e-07,0.49986556,-9.246624e-05,2.9753505e-08,-9.246624e-05,0.5005734,24,19,0
0.3408786,-3.7320227e-05,2.411723e-06,-3.7320227e-05,0.44902843,0.023332316,2.411723e-06,0.023332316,0.71009296,25,19,0
0.20026408,-8.126596e-05,-4.435767e-06,-8.126596e-05,0.44503787,0.14294986,-4.435767e-06,0.14294986,0.85469806,26,19,0
0.20000005,-0.0001018655,3.5067526e-07,-0.0001018655,0.52382106,0.21582143,3.5067526e-07,0.21582143,0.7761789,27,19,0
0.20000008,-0.00013524774,3.3878627e-05,-0.00013524774,0.6258823,0.248834,3.3878627e-05,0.248834,0.6741176,28,19,0
0.20000045,-0.00023215552,0.00019888565,-0.00023215552,0.73238295,0.23603627,0.00019888565,0.23603627,0.5676166,29,19,0
0.20000097,0.0001031168,-0.00043476812,0.0001031168,0.82372,0.17978165,-0.00043476812,0.17978165,0.47627905,30,19,0
0.2000001,-4.1721785e-05,-0.00014707076,-4.1721785e-05,0.88307136,0.09043084,-0.00014707076,0.09043084,0.41692853,31,19,0
0.20000005,-5.6871868e-05,-9.096372e-05,-5.6871868e-05,0.89951473,-0.015568867,-9.096372e-05,-0.015568867,0.40048522,32,19,0
0.20002782,-5.1505314e-05,-6.738651e-05,-5.1505314e-05,0.86998785,-0.118691444,-6.738651e-05,-0.118691444,0.42998433,33,19,0
0.27384865,-2.9077193e-05,-4.5642704e-05,-2.9077193e-05,0.72616875,-0.15075456,-4.5642704e-05,-0.15075456,0.49998263,34,19,0
