"V:0","V:1","V:2","Points:0","Points:1","Points:2"
-9.8222,-6.4971,-18.005,-2.293,3.9716,-1
-8.5449,-8.1042,-18.005,-2.9478,3.5131,-1
-7.0081,-9.4653,-18.006,-3.5131,2.9478,-1
-5.2583,-10.539,-18.005,-3.9716,2.293,-1
-3.3486,-11.292,-18.005,-4.3094,1.5685,-1
-1.3369,-11.702,-18.005,-4.5163,0.79635,-1
0.71539,-11.756,-18.005,-4.586,4.9016e-14,-1
2.7459,-11.453,-18.005,-4.5163,-0.79635,-1
4.693,-10.802,-18.005,-4.3094,-1.5685,-1
6.4977,-9.8231,-18.006,-3.9716,-2.293,-1
8.1052,-8.546,-18.006,-3.5131,-2.9478,-1
9.4665,-7.0091,-18.005,-2.9478,-3.5131,-1
10.54,-5.259,-18.005,-2.293,-3.9716,-1
11.293,-3.3489,-18.004,-1.5685,-4.3094,-1
0,0,-5,-0.62629,-3.5519,10.16
0,0,-5,0,-3.6067,10.16
0,0,-5,0,-3.81,10.16
0,0,-5,-0.6616,-3.7521,10.16
-0.059893,-0.36286,-5.5856,-0.62629,-3.5519,9.2264
0.0050606,-0.36769,-5.5858,0,-3.6067,9.2264
0.0046534,-0.11253,-5.6786,0,-3.81,9.2264
-0.015975,-0.11146,-5.6785,-0.6616,-3.7521,9.2264
0,0,-5,-0.59098,-3.3516,10.16
0,0,-5,0,-3.4033,10.16
-0.10009,-0.59285,-5.4951,-0.59098,-3.3516,9.2264
0.0054341,-0.60109,-5.4953,0,-3.4033,9.2264
0,0,-5,-0.55567,-3.1514,10.16
0,0,-5,0,-3.2,10.16
